generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1679,834.58,561.13,2,2.82,602.03,520.24,8886.75,329.10,199.37,351.47,7.46,68.76,17.28,6.50,253.17
1680,831.36,462.12,2,2.68,541.19,383.05,4500.17,347.16,172.26,414.39,7.38,63.99,21.98,6.65,207.69
1681,865.77,616.60,2,2.62,550.64,682.56,12001.11,309.88,146.15,410.94,6.59,61.63,27.29,4.49,300.98
1682,676.79,453.94,2,2.48,456.88,450.99,3546.50,346.07,155.04,440.01,6.65,60.24,27.15,5.96,160.48
1683,681.44,418.81,2,2.59,411.19,426.42,2753.31,314.06,202.67,438.48,7.23,59.13,26.45,7.19,143.66
1684,961.15,511.39,2,2.36,449.47,573.32,7396.72,357.45,485.54,375.58,7.85,61.73,23.26,7.16,211.55
1685,757.29,420.70,2,2.23,416.65,424.76,2698.07,362.05,2208.02,439.51,6.87,59.24,27.43,6.46,134.96
1686,955.86,528.70,2,2.33,585.43,471.97,6844.00,297.17,535.71,358.19,5.85,61.37,26.25,6.53,213.43
1687,645.94,433.29,2,2.37,446.06,420.53,2853.62,367.39,1438.90,420.64,6.95,55.62,29.93,7.51,160.52
1688,721.68,478.74,2,2.31,566.45,391.04,5012.90,397.37,1105.63,473.07,5.54,65.12,24.14,5.20,169.64
1689,976.34,548.00,2,2.59,647.27,448.73,10258.17,394.96,192.40,400.79,7.04,64.45,21.09,7.42,240.03
1690,748.84,509.10,2,2.29,450.11,568.08,5388.15,375.31,1793.18,485.50,8.09,62.71,20.88,8.33,216.45
1691,606.70,443.47,2,2.30,435.33,451.61,3163.01,317.04,456.37,394.54,7.91,59.03,25.83,7.23,151.84
1692,869.36,514.95,2,2.40,538.95,490.95,6672.98,370.13,290.30,521.02,6.74,64.67,22.38,6.21,188.78
1693,719.23,486.87,2,2.30,490.75,482.98,4708.82,370.08,314.08,468.99,6.46,65.66,21.83,6.05,185.76
1694,728.95,527.38,2,2.26,560.19,494.57,6545.46,338.78,266.29,427.17,5.81,62.27,25.36,6.57,190.33
1695,652.71,453.07,2,2.36,419.57,486.58,3385.87,342.46,152.14,467.57,6.09,62.11,24.79,7.01,140.15
1696,720.21,445.48,2,2.53,467.17,423.79,3498.39,377.90,524.15,537.11,5.97,62.81,26.02,5.20,146.48
1697,660.88,437.65,2,2.39,380.95,494.35,3464.53,353.17,199.21,481.54,7.13,65.17,21.12,6.58,135.04
1698,795.71,475.91,2,2.35,453.48,498.34,4708.69,295.64,469.85,459.21,7.24,72.06,14.91,5.78,177.96
1699,758.54,518.89,2,2.46,503.18,534.59,5925.24,305.44,349.24,338.90,6.71,71.76,15.33,6.20,210.04
1700,831.28,532.61,2,2.34,509.19,556.03,7515.55,332.82,191.94,402.68,6.41,71.42,16.15,6.02,206.35
1701,645.85,450.80,2,2.28,430.37,471.24,3394.04,322.88,522.20,406.61,8.07,62.52,21.48,7.93,170.45
1702,719.74,516.22,2,2.27,477.10,555.34,5796.39,358.31,204.56,390.95,9.39,63.28,21.17,6.17,225.83
1703,856.64,530.77,2,2.31,552.54,509.01,6766.94,408.63,167.56,377.81,6.57,58.86,29.60,4.97,215.56
1704,958.93,492.39,2,2.37,590.23,394.55,6997.13,379.88,229.29,429.72,6.96,62.78,24.53,5.73,184.82
1705,772.12,495.02,2,2.13,522.71,467.32,5762.92,418.99,279.58,423.16,5.80,59.83,28.64,5.73,170.68
1706,840.57,542.69,2,2.11,589.34,496.05,8640.86,372.32,476.63,501.23,6.72,64.02,24.64,4.62,218.68
